,Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
111,1982,2,522.7165440718115,529.4363636363637,4.553846153846154,3.5115384615384615,527.7523076923077,1.3192307692307692
16,1982,1,454.9159408465069,1113.391891891892,39.445945945945944,26.72432432432432,684.1543243243243,5.094594594594595
17,1983,1,352.3228352881183,1143.1819110206095,41.3054054054054,34.57297297297298,835.3321621621621,5.154054054054054
65,1983,0,266.71666666666664,1264.9166666666667,553.9666666666667,558.7666666666667,962.33,112.7
112,1983,2,498.4690250592196,665.0818181818181,6.1923076923076925,8.36153846153846,648.2373076923076,2.1115384615384616
66,1984,0,247.03333333333333,1218.1,555.4666666666667,490.2833333333333,842.5066666666667,127.51666666666668
113,1984,2,551.3242363795039,432.5136363636363,6.5346153846153845,8.188461538461539,593.6642307692308,2.0653846153846156
18,1984,1,362.9174298827129,972.2189189189188,39.70810810810811,19.548648648648648,587.8778378378378,5.178378378378378
19,1985,1,369.62553799082104,999.499063618413,41.59189189189189,37.25675675675676,885.1232432432432,5.264864864864865
114,1985,2,612.0294476997881,429.95909090909095,5.053846153846154,4.588461538461539,366.3446153846154,1.9615384615384617
67,1985,0,254.13333333333333,1230.3,564.35,728.5999999999999,1216.12,117.58333333333331
68,1986,0,250.58333333333337,1340.2166666666667,575.5,548.3333333333334,916.645,140.68333333333334
115,1986,2,605.5900760503678,454.99545454545455,5.726923076923077,5.061538461538461,480.5646153846154,2.3653846153846154
20,1986,1,402.5390515043345,976.4486486486486,41.13783783783784,26.22972972972973,661.9924324324325,5.651351351351352
116,1987,2,648.8371400074805,331.2318181818182,3.6769230769230767,2.95,323.40653846153845,1.7115384615384617
21,1987,1,407.5174298827129,903.7135135135136,33.983783783783785,24.37837837837838,710.5597297297297,4.3108108108108105
